situation,emotion,dialogues
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world.
Agent : Was this a friend you were in love with, or just a best friend?"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :This was a best friend. I miss her.
Agent : Where has she gone?"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :We no longer talk.
Agent : Oh was this something that happened because of an argument?"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :Was this a friend you were in love with, or just a best friend?
Agent : This was a best friend. I miss her."
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :Where has she gone?
Agent : We no longer talk."
i used to scare for darkness,afraid,"Customer : it feels like hitting to blank wall when i see the darkness
Agent : Oh ya? I don't really see how"
i used to scare for darkness,afraid,"Customer :dont you feel so.. its a wonder 
Agent : I do actually hit blank walls a lot of times but i get by"
i used to scare for darkness,afraid,"Customer : i virtually thought so.. and i used to get sweatings
Agent : Wait what are sweatings"
i used to scare for darkness,afraid,"Customer :Oh ya? I don't really see how
Agent : dont you feel so.. its a wonder"
i used to scare for darkness,afraid,"Customer :I do actually hit blank walls a lot of times but i get by
Agent : i virtually thought so.. and i used to get sweatings"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :Hi how are you doing today
Agent : doing good.. how about you"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :Im good, trying to understand how someone can feel like hitting a blank wall when they see the darkness
Agent : it's quite strange that you didnt imagine it"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :doing good.. how about you
Agent : Im good, trying to understand how someone can feel like hitting a blank wall when they see the darkness"
